corpus,feature,term,coef,p_value
seame,F0msemax,C(condition)[T.monolingual_ZH],-12.5772,0.0004
seame,F0msemax,has_discourse_marker[T.True],21.3165,0.0
seame,F0msemax,has_repetition[T.True],-2.1362,0.4661
seame,F0msemax,Group Var,3.0477,0.0
seame,F0tiltmin,Intercept,-134.9242,0.0587
seame,F0tiltmin,C(condition)[T.monolingual_EN],25.7572,0.0
seame,F0tiltmin,C(condition)[T.monolingual_ZH],-31.1748,0.0
seame,F0tiltmin,has_discourse_marker[T.True],5.2323,0.0117
seame,F0tiltmin,has_repetition[T.True],-19.1228,0.0
seame,F0tiltmin,Group Var,6.2299,0.0
seame,F0mseavg,Intercept,254.9662,0.0
seame,F0mseavg,C(condition)[T.monolingual_EN],11.0569,0.0003
seame,F0mseavg,C(condition)[T.monolingual_ZH],-11.9175,0.0
seame,F0mseavg,has_discourse_marker[T.True],17.5972,0.0
seame,F0mseavg,has_repetition[T.True],-2.5241,0.2818
seame,F0mseavg,Group Var,3.4495,0.0
seame,F0msemin,Intercept,190.767,0.0006
seame,F0msemin,C(condition)[T.monolingual_EN],10.1443,0.0003
seame,F0msemin,C(condition)[T.monolingual_ZH],-12.066,0.0
seame,F0msemin,has_discourse_marker[T.True],13.8962,0.0
seame,F0msemin,has_repetition[T.True],-3.6014,0.0935
seame,F0msemin,Group Var,4.0,0.0
seame,F0tiltmax,Intercept,146.8303,0.0248
seame,F0tiltmax,C(condition)[T.monolingual_EN],-1.5385,0.4
seame,F0tiltmax,C(condition)[T.monolingual_ZH],-7.2838,0.0
seame,F0tiltmax,has_discourse_marker[T.True],0.9339,0.481
seame,F0tiltmax,has_repetition[T.True],-3.8206,0.0067
seame,F0tiltmax,Group Var,12.8518,0.0
seame,F0tiltavg,Intercept,15.1513,0.8
seame,F0tiltavg,C(condition)[T.monolingual_EN],7.2329,0.0001
seame,F0tiltavg,C(condition)[T.monolingual_ZH],-18.9988,0.0
seame,F0tiltavg,has_discourse_marker[T.True],2.3042,0.0759
seame,F0tiltavg,has_repetition[T.True],-10.5099,0.0
seame,F0tiltavg,Group Var,11.1943,0.0
seame,F0tiltstd,Intercept,108.6652,0.0
seame,F0tiltstd,C(condition)[T.monolingual_EN],-9.9601,0.0
seame,F0tiltstd,C(condition)[T.monolingual_ZH],12.1362,0.0
seame,F0tiltstd,has_discourse_marker[T.True],-1.4595,0.1422
seame,F0tiltstd,has_repetition[T.True],6.9827,0.0
seame,F0tiltstd,Group Var,2.2503,0.0
seame,F0msestd,Intercept,70.8673,0.0001
seame,F0msestd,C(condition)[T.monolingual_EN],1.3352,0.3208
seame,F0msestd,C(condition)[T.monolingual_ZH],-0.3001,0.8123
seame,F0msestd,has_discourse_marker[T.True],3.8439,0.0001
seame,F0msestd,has_repetition[T.True],0.8249,0.4263
seame,F0msestd,Group Var,1.7134,0.0
seame,1F0max,Intercept,203.1751,0.0
seame,1F0max,C(condition)[T.monolingual_EN],-1.6203,0.0029
seame,1F0max,C(condition)[T.monolingual_ZH],-2.3187,0.0
seame,1F0max,has_discourse_marker[T.True],-0.2789,0.4793
seame,1F0max,has_repetition[T.True],-2.9349,0.0
seame,1F0max,Group Var,2.216,0.0
seame,F0max,Intercept,220.5488,0.0
seame,F0max,C(condition)[T.monolingual_EN],0.0176,0.9751
seame,F0max,C(condition)[T.monolingual_ZH],-1.8927,0.0004
seame,F0max,has_discourse_marker[T.True],-0.1629,0.6902
seame,F0max,has_repetition[T.True],-2.7682,0.0
seame,F0max,Group Var,1.9634,0.0
seame,lastF0max,Intercept,208.7653,0.0
seame,lastF0max,C(condition)[T.monolingual_EN],1.1259,0.0432
seame,lastF0max,C(condition)[T.monolingual_ZH],-0.7795,0.1364
seame,lastF0max,has_discourse_marker[T.True],-0.7095,0.0789
seame,lastF0max,has_repetition[T.True],-2.9949,0.0
seame,lastF0max,Group Var,1.9838,0.0
seame,lastF0avg,Intercept,176.2405,0.0
seame,lastF0avg,C(condition)[T.monolingual_EN],-2.1591,0.0
seame,lastF0avg,C(condition)[T.monolingual_ZH],-0.6967,0.1135
seame,lastF0avg,has_discourse_marker[T.True],-1.0713,0.0016
seame,lastF0avg,has_repetition[T.True],-2.3161,0.0
seame,lastF0avg,Group Var,1.8216,0.0
seame,1F0mean,Intercept,167.8586,0.0
seame,1F0mean,C(condition)[T.monolingual_EN],-2.5703,0.0
seame,1F0mean,C(condition)[T.monolingual_ZH],-1.8524,0.0
seame,1F0mean,has_discourse_marker[T.True],-0.4944,0.1209
seame,1F0mean,has_repetition[T.True],-2.3283,0.0
seame,1F0mean,Group Var,2.0913,0.0
seame,F0avg,Intercept,170.4,0.0
