model_type,feature,term,masac,seame
all_condition,1F0mean,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],1415400015243.086,
all_condition,1F0mean,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-4595911992.030861,
all_condition,1F0mean,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-2855282.667829057,
all_condition,1F0mean,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-185598903897.93848,
all_condition,1F0mean,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,1F0mean,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,1F0mean,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],36.19533857130215,
all_condition,1F0mean,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,1F0mean,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,1F0mean,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],4.456841670659692,
all_condition,1F0mean,C(condition)[T.monolingual_HI],-5.595486730486706,
all_condition,1F0mean,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],-8.239112637400847,
all_condition,1F0mean,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],1.5831975735701214,
all_condition,1F0mean,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],135921576367121.38,
all_condition,1F0mean,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-113075932.18144447,
all_condition,1F0mean,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",62809.74273724813,
all_condition,1F0mean,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],119437319225.64813,
all_condition,1F0mean,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,1F0mean,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,1F0mean,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],16.483278171101492,
all_condition,1F0mean,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,1F0mean,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,1F0mean,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],27.808425004689113,
all_condition,1F0mean,C(dialogue_act)[T.1],-135921576367058.0,
all_condition,1F0mean,"C(dialogue_act)[T.a,_i]",9.346413751066812,
all_condition,1F0mean,"C(dialogue_act)[T.a,_o]",24.735807669656467,
all_condition,1F0mean,C(dialogue_act)[T.a],-3.0022922492077164,
all_condition,1F0mean,"C(dialogue_act)[T.i,_a,_o]",-86.19247515960991,
all_condition,1F0mean,"C(dialogue_act)[T.i,_a]",-3.1700461371074846,
all_condition,1F0mean,C(dialogue_act)[T.i],-0.8440507277855289,
all_condition,1F0mean,"C(dialogue_act)[T.o,_a]",36.317787494788085,
all_condition,1F0mean,"C(dialogue_act)[T.o,_i]",-31.697158993264665,
all_condition,1F0mean,C(dialogue_act)[T.o],-6.951406560568657,
all_condition,1F0mean,Intercept,207.1352929860954,
all_condition,1F0mean,has_discourse_marker[T.True],2.2812875067660467,
all_condition,1F0mean,has_repetition[T.True],3.151504319290555,
all_condition,F0max,C(age_bucket)[T.25+],,-11.851036766374976
all_condition,F0max,C(age_bucket)[T.<19],,-70.1362045250189
all_condition,F0max,C(condition)[T.monolingual_EN],,2.2088816310870967
all_condition,F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,2.6541903736704966
all_condition,F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,10.793709673222967
all_condition,F0max,C(condition)[T.monolingual_EN]:C(gender)[T.male],,3.4966933173130283
all_condition,F0max,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,-9.10342964234131
all_condition,F0max,C(condition)[T.monolingual_ZH],,5.255505325371967
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,-9.03878770468072
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,6.161220731115221
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,-1.9865039019986352
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,-11.406471679984131
all_condition,F0max,C(gender)[T.male],,-90.51726925233216
all_condition,F0max,C(nationality)[T.singaporean],,21.4918507912662
all_condition,F0max,Intercept,,246.9858369481597
all_condition,F0max,has_discourse_marker[T.True],,-1.2708570473397383
all_condition,F0max,has_repetition[T.True],,1.7174757614918563
all_condition,F0mseavg,C(age_bucket)[T.25+],,-47.20464213859267
all_condition,F0mseavg,C(age_bucket)[T.<19],,199.00224534493282
all_condition,F0mseavg,C(audience_proficiency_proxy)[T.low_l2],-116.90923991810752,
all_condition,F0mseavg,C(audience_proficiency_proxy)[T.mid_l2],13.761648133119945,
all_condition,F0mseavg,C(condition)[T.monolingual_EN],-27.948817550376273,-41.16060564200136
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,64.71708503023272
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,-30.326854547082718
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],185.2512176512407,
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-44.18227842223283,
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],22352420258032.547,
all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-72580016397.10356,
all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-45091477.64551191,
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-2931033386095.0146,
all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],-82.38505835496434,
all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-47.01456227059735,
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(gender)[T.male],,-53.760920822298864
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,17.31495057181059
all_condition,F0mseavg,C(condition)[T.monolingual_HI],-34.77134248904562,
all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],59.47486530306123,
all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],25.719756790169576,
all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],2146514175761071.5,
all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-1785728931.7284412,
all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",991910.2379836865,
