corpus,model_type,feature,term,coef,p_value,aic,n
masac,all_condition,F0tiltmin,C(dialogue_act)[T.1],-2481428672451080.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(dialogue_act)[T.a],-170.94713688265745,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(dialogue_act)[T.a,_i]",-396.7291338873249,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(dialogue_act)[T.a,_o]",-750.1825796569183,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(dialogue_act)[T.i],-108.44321683727311,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(dialogue_act)[T.i,_a]",-346.2331088662937,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(dialogue_act)[T.i,_a,_o]",-37.670061937446235,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(dialogue_act)[T.o],11.814248426969037,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(dialogue_act)[T.o,_a]",-615.0749734566809,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(dialogue_act)[T.o,_i]",170.54818641359816,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(audience_proficiency_proxy)[T.low_l2],339.4650844424303,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(audience_proficiency_proxy)[T.mid_l2],-64.7091463616434,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],25840004763679.06,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],2481428672451819.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-3388354182003.194,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],2180486692464.662,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-83904469753.11754,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-2064351133.7847357,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-52126972.54753163,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",1146675.1688971897,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],72.66856475942105,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],-89.92942761545387,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,,100392.56096028516,6476
